,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,mar del plata,-38.0,-57.56,55.99,28,0,17.22,AR,1597681571
1,atuona,-9.8,-139.03,78.24,73,0,17.16,PF,1597681618
2,kamina,-8.74,24.99,79.09,17,0,5.73,CD,1597681816
3,vaini,-21.2,-175.2,69.8,77,75,9.17,TO,1597681816
4,bay roberts,47.6,-53.26,78.01,41,80,6.22,CA,1597681816
5,nisia floresta,-6.09,-35.21,86.0,51,20,23.04,BR,1597681817
6,kushmurun,52.45,64.63,58.03,76,66,10.16,KZ,1597681817
7,sao filipe,14.9,-24.5,78.6,84,63,2.24,CV,1597681817
8,cape town,-33.93,18.42,53.01,76,75,16.11,ZA,1597681817
9,port alfred,-33.59,26.89,60.28,61,98,17.2,ZA,1597681817
10,mamallapuram,12.63,80.17,86.0,79,75,5.82,IN,1597681817
11,dikson,73.51,80.55,51.49,93,42,12.48,RU,1597681818
12,butaritari,3.07,172.79,81.09,61,64,5.61,KI,1597681818
13,rikitea,-23.12,-134.97,70.88,78,8,13.49,PF,1597681818
14,hervey bay,-25.3,152.85,52.0,87,0,6.2,AU,1597681818
15,saskylakh,71.92,114.08,59.0,64,99,8.68,RU,1597681818
16,goderich,43.75,-81.72,73.99,84,65,5.99,CA,1597681735
17,barrow,71.29,-156.79,44.6,87,90,24.16,US,1597681819
18,saint-philippe,-21.36,55.77,71.6,73,90,12.75,RE,1597681819
19,ngunguru,-35.62,174.5,57.0,3,95,8.99,NZ,1597681819
20,saint-joseph,-21.37,55.62,71.6,73,90,12.75,RE,1597681819
21,ushuaia,-54.8,-68.3,33.8,86,75,4.25,AR,1597681677
22,bria,6.54,21.99,74.12,94,100,2.17,CF,1597681820
23,jamestown,42.1,-79.24,75.0,60,75,11.41,US,1597681534
24,coihaique,-45.58,-72.07,42.8,75,90,9.17,CL,1597681820
25,ribeira grande,38.52,-28.7,75.2,88,75,28.86,PT,1597681820
26,placido de castro,-10.34,-67.19,102.4,24,1,5.1,BR,1597681821
27,kapaa,22.08,-159.32,77.0,78,40,14.99,US,1597681821
28,carbonia,39.17,8.52,93.2,46,20,16.11,IT,1597681821
29,cherskiy,68.75,161.3,40.5,93,100,9.46,RU,1597681821
30,albany,42.6,-73.97,73.99,69,50,3.8,US,1597681802
31,bandarbeyla,9.49,50.81,76.35,81,14,34.31,SO,1597681821
32,iqaluit,63.75,-68.51,46.4,87,75,6.93,CA,1597681822
33,castro,-24.79,-50.01,69.53,71,74,4.07,BR,1597681822
34,naliya,23.27,68.83,82.87,86,100,14.0,IN,1597681822
